tmc_code,measurement_tstamp,travel_time_minutes
116+04119,2019-06-01 00:00:00,1.94
116+04119,2019-06-01 01:00:00,1.94
116+04119,2019-06-01 02:00:00,1.94
116+04119,2019-06-01 03:00:00,1.94
116+04119,2019-06-01 04:00:00,1.94
116+04119,2019-06-01 05:00:00,1.88
116+04119,2019-06-01 06:00:00,1.85
116+04119,2019-06-01 07:00:00,1.84
116+04119,2019-06-01 08:00:00,1.87
116+04119,2019-06-01 09:00:00,1.86
116+04119,2019-06-01 10:00:00,1.88
116+04119,2019-06-01 11:00:00,1.90
116+04119,2019-06-01 12:00:00,1.85
116+04119,2019-06-01 13:00:00,1.94
116+04119,2019-06-01 14:00:00,5.09
116+04119,2019-06-01 15:00:00,3.80
116+04119,2019-06-01 16:00:00,3.62
116+04119,2019-06-01 17:00:00,2.05
116+04119,2019-06-01 18:00:00,1.93
116+04119,2019-06-01 19:00:00,1.93
116+04119,2019-06-01 20:00:00,1.91
116+04119,2019-06-01 21:00:00,1.98
116+04119,2019-06-01 22:00:00,1.92
116+04119,2019-06-01 23:00:00,1.93
116N04117,2019-06-01 00:00:00,0.08
116N04117,2019-06-01 01:00:00,0.08
116N04117,2019-06-01 02:00:00,0.08
116N04117,2019-06-01 03:00:00,0.08
116N04117,2019-06-01 04:00:00,0.08
116N04117,2019-06-01 05:00:00,0.08
116N04117,2019-06-01 06:00:00,0.08
116N04117,2019-06-01 07:00:00,0.08
116N04117,2019-06-01 08:00:00,0.09
116N04117,2019-06-01 09:00:00,0.09
116N04117,2019-06-01 10:00:00,0.09
116N04117,2019-06-01 11:00:00,0.09
116N04117,2019-06-01 12:00:00,0.22
116N04117,2019-06-01 13:00:00,0.22
116N04117,2019-06-01 14:00:00,0.16
116N04117,2019-06-01 15:00:00,0.09
116N04117,2019-06-01 16:00:00,0.09
116N04117,2019-06-01 17:00:00,0.09
116N04117,2019-06-01 18:00:00,0.08
116N04117,2019-06-01 19:00:00,0.09
116N04117,2019-06-01 20:00:00,0.09
116N04117,2019-06-01 21:00:00,0.09
116N04117,2019-06-01 22:00:00,0.08
116N04117,2019-06-01 23:00:00,0.08
116-04119,2019-06-01 00:00:00,0.86
116-04119,2019-06-01 01:00:00,0.86
116-04119,2019-06-01 02:00:00,0.86
116-04119,2019-06-01 03:00:00,0.86
116-04119,2019-06-01 04:00:00,0.86
116-04119,2019-06-01 05:00:00,0.83
116-04119,2019-06-01 06:00:00,0.83
116-04119,2019-06-01 07:00:00,0.85
116-04119,2019-06-01 08:00:00,0.85
116-04119,2019-06-01 09:00:00,0.85
116-04119,2019-06-01 10:00:00,0.83
116-04119,2019-06-01 11:00:00,0.86
116-04119,2019-06-01 12:00:00,0.84
116-04119,2019-06-01 13:00:00,0.85
116-04119,2019-06-01 14:00:00,1.33
116-04119,2019-06-01 15:00:00,1.11
