tmc_code,measurement_tstamp,travel_time_minutes
116+04119,2019-07-01 00:00:00,1.91
116+04119,2019-07-01 01:00:00,1.93
116+04119,2019-07-01 02:00:00,1.87
116+04119,2019-07-01 03:00:00,1.85
116+04119,2019-07-01 04:00:00,1.79
116+04119,2019-07-01 05:00:00,1.82
116+04119,2019-07-01 06:00:00,1.83
116+04119,2019-07-01 07:00:00,1.85
116+04119,2019-07-01 08:00:00,1.86
116+04119,2019-07-01 09:00:00,1.86
116+04119,2019-07-01 10:00:00,1.94
116+04119,2019-07-01 11:00:00,1.91
116+04119,2019-07-01 12:00:00,1.93
116+04119,2019-07-01 13:00:00,1.93
116+04119,2019-07-01 14:00:00,1.93
116+04119,2019-07-01 15:00:00,3.06
116+04119,2019-07-01 16:00:00,2.26
116+04119,2019-07-01 17:00:00,2.85
116+04119,2019-07-01 18:00:00,2.39
116+04119,2019-07-01 19:00:00,1.87
116+04119,2019-07-01 20:00:00,1.86
116+04119,2019-07-01 21:00:00,1.92
116+04119,2019-07-01 22:00:00,1.89
116+04119,2019-07-01 23:00:00,1.88
116N04117,2019-07-01 00:00:00,0.08
116N04117,2019-07-01 01:00:00,0.08
116N04117,2019-07-01 02:00:00,0.08
116N04117,2019-07-01 03:00:00,0.08
116N04117,2019-07-01 04:00:00,0.08
116N04117,2019-07-01 05:00:00,0.08
116N04117,2019-07-01 06:00:00,0.09
116N04117,2019-07-01 07:00:00,0.10
116N04117,2019-07-01 08:00:00,0.09
116N04117,2019-07-01 09:00:00,0.09
116N04117,2019-07-01 10:00:00,0.09
116N04117,2019-07-01 11:00:00,0.09
116N04117,2019-07-01 12:00:00,0.09
116N04117,2019-07-01 13:00:00,0.09
116N04117,2019-07-01 14:00:00,0.09
116N04117,2019-07-01 15:00:00,0.10
116N04117,2019-07-01 16:00:00,0.15
116N04117,2019-07-01 17:00:00,0.22
116N04117,2019-07-01 18:00:00,0.10
116N04117,2019-07-01 19:00:00,0.08
116N04117,2019-07-01 20:00:00,0.08
116N04117,2019-07-01 21:00:00,0.08
116N04117,2019-07-01 22:00:00,0.08
116N04117,2019-07-01 23:00:00,0.08
116-04119,2019-07-01 00:00:00,0.81
116-04119,2019-07-01 01:00:00,0.81
116-04119,2019-07-01 02:00:00,0.85
116-04119,2019-07-01 03:00:00,0.83
116-04119,2019-07-01 04:00:00,0.82
116-04119,2019-07-01 05:00:00,0.80
116-04119,2019-07-01 06:00:00,0.86
116-04119,2019-07-01 07:00:00,1.47
116-04119,2019-07-01 08:00:00,0.94
116-04119,2019-07-01 09:00:00,0.86
116-04119,2019-07-01 10:00:00,0.85
116-04119,2019-07-01 11:00:00,0.87
116-04119,2019-07-01 12:00:00,0.85
116-04119,2019-07-01 13:00:00,0.84
116-04119,2019-07-01 14:00:00,0.84
116-04119,2019-07-01 15:00:00,0.90
116-04119,2019-07-01 16:00:00,1.25
116-04119,2019-07-01 17:00:00,1.15
116-04119,2019-07-01 18:00:00,0.84
116-04119,2019-07-01 19:00:00,0.82
116-04119,2019-07-01 20:00:00,0.80
116-04119,2019-07-01 21:00:00,0.82
116-04119,2019-07-01 22:00:00,0.82
116-04119,2019-07-01 23:00:00,0.83
116N04118,2019-07-01 00:00:00,0.90
116N04118,2019-07-01 01:00:00,0.90
116N04118,2019-07-01 02:00:00,0.94
116N04118,2019-07-01 03:00:00,0.90
116N04118,2019-07-01 04:00:00,0.90
116N04118,2019-07-01 05:00:00,0.91
116N04118,2019-07-01 06:00:00,1.13
116N04118,2019-07-01 07:00:00,1.23
116N04118,2019-07-01 08:00:00,1.15
116N04118,2019-07-01 09:00:00,1.12
116N04118,2019-07-01 10:00:00,1.10
116N04118,2019-07-01 11:00:00,1.07
116N04118,2019-07-01 12:00:00,1.01
116N04118,2019-07-01 13:00:00,0.99
116N04118,2019-07-01 14:00:00,0.99
116N04118,2019-07-01 15:00:00,1.06
116N04118,2019-07-01 16:00:00,1.74
116N04118,2019-07-01 17:00:00,1.81
116N04118,2019-07-01 18:00:00,1.00
116N04118,2019-07-01 19:00:00,0.91
116N04118,2019-07-01 20:00:00,0.90
116N04118,2019-07-01 21:00:00,0.94
116N04118,2019-07-01 22:00:00,0.91
116N04118,2019-07-01 23:00:00,0.91
116-04117,2019-07-01 00:00:00,0.20
116-04117,2019-07-01 01:00:00,0.21
116-04117,2019-07-01 02:00:00,0.21
116-04117,2019-07-01 03:00:00,0.20
116-04117,2019-07-01 04:00:00,0.20
116-04117,2019-07-01 05:00:00,0.20
116-04117,2019-07-01 06:00:00,0.24
116-04117,2019-07-01 07:00:00,0.25
116-04117,2019-07-01 08:00:00,0.24
116-04117,2019-07-01 09:00:00,0.24
116-04117,2019-07-01 10:00:00,0.23
116-04117,2019-07-01 11:00:00,0.22
116-04117,2019-07-01 12:00:00,0.23
116-04117,2019-07-01 13:00:00,0.23
116-04117,2019-07-01 14:00:00,0.22
116-04117,2019-07-01 15:00:00,0.26
116-04117,2019-07-01 16:00:00,0.43
116-04117,2019-07-01 17:00:00,0.56
116-04117,2019-07-01 18:00:00,0.25
116-04117,2019-07-01 19:00:00,0.21
116-04117,2019-07-01 20:00:00,0.20
116-04117,2019-07-01 21:00:00,0.21
116-04117,2019-07-01 22:00:00,0.20
116-04117,2019-07-01 23:00:00,0.20
116+04120,2019-07-01 00:00:00,0.88
116+04120,2019-07-01 01:00:00,0.81
116+04120,2019-07-01 02:00:00,0.79
116+04120,2019-07-01 03:00:00,0.77
116+04120,2019-07-01 04:00:00,0.75
116+04120,2019-07-01 05:00:00,0.76
116+04120,2019-07-01 06:00:00,0.77
116+04120,2019-07-01 07:00:00,0.79
116+04120,2019-07-01 08:00:00,0.78
116+04120,2019-07-01 09:00:00,0.78
116+04120,2019-07-01 10:00:00,0.78
116+04120,2019-07-01 11:00:00,0.81
116+04120,2019-07-01 12:00:00,0.81
116+04120,2019-07-01 13:00:00,0.80
116+04120,2019-07-01 14:00:00,0.79
116+04120,2019-07-01 15:00:00,0.87
116+04120,2019-07-01 16:00:00,1.01
116+04120,2019-07-01 17:00:00,0.85
116+04120,2019-07-01 18:00:00,0.81
116+04120,2019-07-01 19:00:00,0.77
116+04120,2019-07-01 20:00:00,0.78
116+04120,2019-07-01 21:00:00,0.81
116+04120,2019-07-01 22:00:00,0.79
116+04120,2019-07-01 23:00:00,0.78
116N04119,2019-07-01 00:00:00,0.64
116N04119,2019-07-01 01:00:00,0.66
116N04119,2019-07-01 02:00:00,0.68
116N04119,2019-07-01 03:00:00,0.66
116N04119,2019-07-01 04:00:00,0.67
116N04119,2019-07-01 05:00:00,0.65
116N04119,2019-07-01 06:00:00,1.05
116N04119,2019-07-01 07:00:00,2.08
116N04119,2019-07-01 08:00:00,1.29
116N04119,2019-07-01 09:00:00,0.71
116N04119,2019-07-01 10:00:00,0.74
116N04119,2019-07-01 11:00:00,0.76
116N04119,2019-07-01 12:00:00,0.69
116N04119,2019-07-01 13:00:00,0.67
