,source,road,direction,f_system,urban_rural,class,miles,year,month_day,interval,day_string,date_time,travel_time_minutes,baseline_mean_TT,percent_change,impact_present,impact_subtype,corridor_response,impact_type,reference_period
0,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,00:00,Monday,2019-07-01 00:00:00,4.06,4.295,-5.47147846332946,no,None,None,None,06/2019
1,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,01:00,Monday,2019-07-01 01:00:00,4.000000000000001,4.425,-9.604519774011276,no,None,None,None,06/2019
2,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,02:00,Monday,2019-07-01 02:00:00,3.9,4.055,-3.822441430332918,no,None,None,None,06/2019
3,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,03:00,Monday,2019-07-01 03:00:00,3.85,3.9524999999999997,-2.5932953826691865,no,None,None,None,06/2019
4,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,04:00,Monday,2019-07-01 04:00:00,3.7399999999999998,3.8699999999999997,-3.3591731266149845,no,None,None,None,06/2019
5,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,05:00,Monday,2019-07-01 05:00:00,3.7899999999999996,3.8125,-0.5901639344262403,no,None,None,None,06/2019
6,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,06:00,Monday,2019-07-01 06:00:00,3.83,3.8475,-0.4548408057180005,no,None,None,None,06/2019
7,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,07:00,Monday,2019-07-01 07:00:00,3.89,3.9124999999999996,-0.5750798722044606,no,None,None,None,06/2019
8,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,08:00,Monday,2019-07-01 08:00:00,3.89,3.8925,-0.06422607578676806,no,None,None,None,06/2019
9,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,09:00,Monday,2019-07-01 09:00:00,3.9000000000000004,3.9275,-0.7001909611712248,no,None,None,None,06/2019
10,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,10:00,Monday,2019-07-01 10:00:00,4.01,3.9400000000000004,1.7766497461928779,no,None,None,None,06/2019
11,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,11:00,Monday,2019-07-01 11:00:00,3.9899999999999998,3.97,0.5037783375314754,no,None,None,None,06/2019
12,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,12:00,Monday,2019-07-01 12:00:00,4.0200000000000005,4.005000000000001,0.37453183520598443,no,None,None,None,06/2019
13,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,13:00,Monday,2019-07-01 13:00:00,4.02,4.0225,-0.06215040397763558,no,None,None,None,06/2019
14,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,14:00,Monday,2019-07-01 14:00:00,4.02,4.057499999999999,-0.9242144177449082,no,None,None,None,06/2019
15,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,15:00,Monday,2019-07-01 15:00:00,5.74,4.2349999999999985,35.537190082644685,no,None,None,None,06/2019
16,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,16:00,Monday,2019-07-01 16:00:00,4.919999999999999,4.7325,3.9619651347067957,no,None,None,None,06/2019
17,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,17:00,Monday,2019-07-01 17:00:00,5.2,5.890000000000001,-11.714770797962654,no,None,None,None,06/2019
18,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,18:00,Monday,2019-07-01 18:00:00,4.64,4.4875,3.398328690807796,no,None,None,None,06/2019
19,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,19:00,Monday,2019-07-01 19:00:00,3.9,3.8950000000000005,0.12836970474966491,no,None,None,None,06/2019
20,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,20:00,Monday,2019-07-01 20:00:00,3.8800000000000003,3.9000000000000004,-0.5128205128205132,yes,Paving operations,Partial closure,work zone,06/2019
21,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,21:00,Monday,2019-07-01 21:00:00,3.9999999999999996,3.9950000000000006,0.12515644555692126,yes,Paving operations,Partial closure,work zone,06/2019
22,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,22:00,Monday,2019-07-01 22:00:00,3.9299999999999997,4.0525,-3.0228254164096358,yes,Paving operations,Partial closure,work zone,06/2019
23,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/01,23:00,Monday,2019-07-01 23:00:00,3.91,4.0275,-2.9174425822470447,yes,Paving operations,Partial closure,work zone,06/2019
24,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,00:00,Tuesday,2019-07-02 00:00:00,3.96,3.9824999999999995,-0.5649717514124174,yes,Paving operations,Partial closure,work zone,06/2019
25,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,01:00,Tuesday,2019-07-02 01:00:00,3.89,4.049999999999999,-3.9506172839505886,yes,Paving operations,Partial closure,work zone,06/2019
26,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,02:00,Tuesday,2019-07-02 02:00:00,3.9000000000000004,4.02,-2.9850746268656527,yes,Paving operations,Partial closure,work zone,06/2019
27,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,03:00,Tuesday,2019-07-02 03:00:00,3.82,3.9575,-3.4744156664561,yes,Paving operations,Partial closure,work zone,06/2019
28,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,04:00,Tuesday,2019-07-02 04:00:00,3.7600000000000002,3.8875,-3.27974276527331,yes,Paving operations,Partial closure,work zone,06/2019
29,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,05:00,Tuesday,2019-07-02 05:00:00,3.7499999999999996,3.7725,-0.5964214711729731,yes,Paving operations,Partial closure,work zone,06/2019
30,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,06:00,Tuesday,2019-07-02 06:00:00,3.86,3.8649999999999993,-0.12936610608019278,yes,Paving operations,Partial closure,work zone,06/2019
31,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,07:00,Tuesday,2019-07-02 07:00:00,3.91,3.8825,0.7083065035415403,no,None,None,None,06/2019
32,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,08:00,Tuesday,2019-07-02 08:00:00,3.83,3.9875,-3.9498432601880817,no,None,None,None,06/2019
33,INRIX,I-225,NORTHBOUND,Interstate,Urban,Urban Interstate,4.387117,2019.0,07/02,09:00,Tuesday,2019-07-02 09:00:00,3.94,4.0625,-3.0153846153846167,no,None,None,None,06/2019
