_id,source,road,direction,f_system,urban_rural,class,miles,year,month_day,interval,day_string,date_time,travel_time_minutes,baseline_mean_TT,percent_change,impact_present,impact_subtype,corridor_response,impact_type,reference_period,uploaded_timestamp
5ef0ef708c6c605edc17da42,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,07:00,Friday,2019-10-04 07:00:00,14.059999999999999,14.415,-2.462712452306628,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
5ef0ef708c6c605edc17da43,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,08:00,Friday,2019-10-04 08:00:00,14.270000000000001,14.84,-3.8409703504043025,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
5ef0ef708c6c605edc17da44,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,09:00,Friday,2019-10-04 09:00:00,14.74,15.7475,-6.397840927131291,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
5ef0ef708c6c605edc17da45,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,10:00,Friday,2019-10-04 10:00:00,14.479999999999999,15.479999999999999,-6.459948320413438,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
5ef0ef708c6c605edc17da46,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,11:00,Friday,2019-10-04 11:00:00,14.87,15.797500000000001,-5.871182149074232,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
5ef0ef708c6c605edc17da47,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,12:00,Friday,2019-10-04 12:00:00,14.649999999999999,16.265,-9.929296034429768,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
5ef0ef708c6c605edc17da48,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,13:00,Friday,2019-10-04 13:00:00,14.549999999999999,14.3475,1.4113957135389357,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
5ef0ef708c6c605edc17da49,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,14:00,Friday,2019-10-04 14:00:00,13.83,14.51,-4.68642315644383,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
5ef0ef708c6c605edc17da4a,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,15:00,Friday,2019-10-04 15:00:00,13.790000000000001,14.415000000000001,-4.335761359694762,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
5ef0ef708c6c605edc17da4b,INRIX,I-70,EASTBOUND,Interstate,Rural,Rural Interstate,13.109064,2019,10/04,16:00,Friday,2019-10-04 16:00:00,14.540000000000001,14.610000000000001,-0.4791238877481196,yes,Electrical/Lighting work,Mobile lane closure and various closures,work zone,09/2019,2020-06-22 11:50:39
